"classification","zone_application","page_ecran","libelle_ihm","nom_variable_metier","table_sql","colonne_sql","fichier_source_emplacement_code","nodeid_opcua","type_donnee","sens_echange","frequence_mode_mise_a_jour","statut","commentaire_technique"
"deja_cablee","Production","/commandes/","Compteur OPC UA / Num caisse","num_caisse_courante","","","app/app/config.py:30-42; app/app/services/command_service.py:12-38; app/app/templates/commands/index.html:31-40; app/app/data/opcua_test_nodes.txt:3","ns=4;s=|var|EAG2.Application.GVL_IHM.IHM_NB_Caisse","hypothese Int/UInt","lecture","chargement de page + auto-refresh 5 s ; 3 tentatives de 8 s","trouve","Seul cablage live deja present dans l'ecran metier ; a ne pas casser."
"nodeid_confirme_non_rattache","Validation OPC UA","/supervision/opcua-test","Voyants caisse 1 a 5","voyant_caisse_1_a_5","","","app/app/data/opcua_test_nodes.txt:4-8; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_IHM.IHM_Voy_Caisse_[1..5]","hypothese Bool","lecture-ecriture potentielle","manuel via page de test","trouve","5 NodeIds confirmes, aucune page metier ne les consomme aujourd'hui."
"nodeid_confirme_non_rattache","Validation OPC UA / Production","/supervision/opcua-test","iNbCaisseIHM","num_caisse_ihm_alias","","","app/app/data/opcua_test_nodes.txt:9; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.G7_PROD.iNbCaisseIHM","hypothese Int","lecture-ecriture potentielle","manuel via page de test","trouve","Alias probable du compteur de caisse ; a departager avec IHM_NB_Caisse et uiCurrentBoxNumber."
"visible_ihm_plus_nodeid","Production","/commandes/, /dashboard/","Quantite cote objectif / progression","quantite_caisses_demandee_commande_courante","Commande; vue_generale_commandes","quantite_caisses_demandee","db/01-schema.sql:32-46,177-205; app/app/templates/dashboard/index.html:84-99; app/app/templates/commands/index.html:95-120; app/app/data/opcua_test_nodes.txt:10","ns=4;s=|var|EAG2.Application.G7_PROD.stCurrentOrder.iCaisseDemande","hypothese Int","lecture","aujourd'hui par BDD ; candidat direct pour lecture live","trouve","Meilleur match fonctionnel 1:1 entre l'IHM et le WAGO."
"visible_ihm_plus_nodeid","Production","/dashboard/, /commandes/, /supervision/","Caisses produites","quantite_caisses_produite_commande_courante","Commande; DataProd; VariableOPCUA","quantite_caisses_produite; caisses_produites; valeur_actuelle","db/01-schema.sql:32-46,136-156; app/app/templates/dashboard/index.html:149-156; app/app/templates/commands/index.html:104-118; db/02-seed.sql:108-114","candidat ns=4;s=|var|EAG2.Application.G7_PROD.stCurrentOrder.iCaisseProduite","hypothese Int","lecture","aujourd'hui par BDD ; candidat live a confirmer","a_confirmer","Conflit avec uiBoxesCompleted et avec le node de demo ns=2;s=Production.BoxesDone."
"nodeid_confirme_non_rattache","Production","/supervision/opcua-test","uiBoxCount","compteur_boites_global","","","app/app/data/opcua_test_nodes.txt:17; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.uiBoxCount","hypothese UInt","lecture-ecriture potentielle","manuel via page de test","trouve","Semantique exacte a valider : cumul global ou compteur de lot."
"nodeid_confirme_non_rattache","Production","/supervision/opcua-test","uiBoxesCompleted","boites_terminees","","","app/app/data/opcua_test_nodes.txt:18; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.uiBoxesCompleted","hypothese UInt","lecture-ecriture potentielle","manuel via page de test","trouve","Candidat naturel pour quantite_caisses_produite_commande_courante."
"nodeid_confirme_non_rattache","Production","/supervision/opcua-test","uiCurrentBoxNumber","numero_boite_courante","","","app/app/data/opcua_test_nodes.txt:19; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.uiCurrentBoxNumber","hypothese UInt","lecture-ecriture potentielle","manuel via page de test","trouve","Recouvre probablement la notion IHM Num caisse."
"visible_sans_nodeid","Production","/dashboard/, /commandes/","Cadence actuelle, Dernieres mesures de production","cadence_caisses_h","DataProd","cadence_caisses_h","app/app/repositories/command_repository.py:27-38; app/app/templates/dashboard/index.html:149-153; app/app/templates/commands/index.html:44-62","","Decimal","lecture","dashboard et commandes auto-refresh 5 s via BDD","manquant","Aucun NodeId direct fourni ; une derivation depuis rCurrentBoxCycle_s est possible mais non specifiee."
"nodeid_confirme_non_rattache","Production","/supervision/opcua-test","rCurrentBoxCycle_s","temps_cycle_caisse_courant_s","","","app/app/data/opcua_test_nodes.txt:20; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.rCurrentBoxCycle_s","hypothese Real","lecture-ecriture potentielle","manuel via page de test","trouve","Valeur instantanee ; ne correspond pas directement au KPI moyen ou max affiche dans l'IHM."
"visible_sans_nodeid","Production","/commandes/","Focus recent, Cycle max","temps_cycle_moyen_et_max_sec","TempsCycle; vue_generale_commandes","duree_cycle_sec; temps_cycle_moyen_sec","app/app/repositories/command_repository.py:41-54; app/app/templates/commands/index.html:65-83","","Decimal","lecture","page load + auto-refresh 5 s","manquant","KPI historises ; aucun NodeId WAGO confirme pour le max."
"visible_sans_nodeid","Production","/dashboard/","Sacs huitres","sacs_huitres_consommes","DataProd","sacs_huitres_consommes","db/01-schema.sql:146-156; app/app/templates/dashboard/index.html:158-161","","Int","lecture","dashboard auto-refresh 5 s via BDD","manquant","Ne pas confondre la consommation affichee avec le stock diStockHuitres."
"visible_sans_nodeid","Production","/dashboard/","Sacs saint jacques","sacs_st_jacques_consommes","DataProd","sacs_st_jacques_consommes","db/01-schema.sql:146-156; app/app/templates/dashboard/index.html:162-165","","Int","lecture","dashboard auto-refresh 5 s via BDD","manquant","Aucun NodeId fourni dans la liste confirmee."
"nodeid_confirme_non_rattache","Logistique","/supervision/opcua-test","diStockCaisses","stock_caisses","","","app/app/data/opcua_test_nodes.txt:21; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.diStockCaisses","hypothese DInt","lecture-ecriture potentielle","manuel via page de test","trouve","NodeId connu sans ecran metier actuel."
